,Wolves,Sheep,ModelParams,Run
137,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
138,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
139,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
140,0,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
141,0,8,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
142,0,9,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
143,0,9,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
144,0,10,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
145,0,10,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
146,0,10,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
147,0,10,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
148,0,11,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
149,0,12,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
150,0,13,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
151,0,16,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
152,0,16,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
153,0,18,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
154,0,18,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
155,0,18,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
156,0,19,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
157,0,19,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
158,0,20,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
159,0,20,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
160,0,23,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
161,0,24,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
162,0,26,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
163,0,26,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
164,0,28,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
165,0,28,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
166,0,29,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
167,0,31,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
168,0,33,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
169,0,33,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
170,0,35,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
171,0,36,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
172,0,37,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
173,0,38,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
174,0,39,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
175,0,39,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
176,0,42,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
177,0,45,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
178,0,47,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
179,0,49,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
180,0,50,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
181,0,52,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
182,0,54,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
183,0,54,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
184,0,54,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
185,0,56,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
186,0,58,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
187,0,60,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
188,0,64,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
189,0,64,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
190,0,69,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
191,0,76,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
192,0,80,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
193,0,81,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
194,0,82,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
195,0,85,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
196,0,92,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
197,0,96,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
198,0,98,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
199,0,101,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
200,0,104,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
201,0,110,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
202,0,116,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
203,0,118,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
204,0,121,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
205,0,129,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
206,0,136,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
207,0,142,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
208,0,147,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
209,0,157,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
210,0,166,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
211,0,170,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
212,0,177,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
213,0,187,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
214,0,191,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
215,0,197,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
216,0,203,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
217,0,208,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
218,0,215,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
219,0,222,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
220,0,229,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
221,0,236,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
222,0,244,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
223,0,249,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
224,0,255,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
225,0,266,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
226,0,274,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
227,0,286,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
228,0,297,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
229,0,310,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
230,0,319,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
231,0,326,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
232,0,342,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
233,0,353,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
234,0,369,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
235,0,382,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
236,0,399,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
237,0,413,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
238,0,437,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
239,0,454,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
240,0,469,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
241,0,485,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
242,0,513,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
243,0,538,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
244,0,552,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
